Vardas              Pavarde             ND1       ND2       ND3       ND4       ND5       ND6       ND7       ND8       ND9       ND10      ND11      ND12      ND13      ND14      ND15      Egz.      
Vardas45            Pavarde45           5         4         1         4         4         2         6         6         8         4         3         1         6         7         4         5         
Vardas46            Pavarde46           5         3         9         10        1         3         2         2         10        4         4         9         3         7         8         6         
Vardas47            Pavarde47           2         6         7         7         6         3         9         9         2         3         2         1         1         10        5         1         
Vardas48            Pavarde48           3         8         8         7         3         7         9         4         6         5         8         8         9         5         10        3         
Vardas49            Pavarde49           1         9         8         1         9         2         7         3         3         8         10        6         1         4         10        5         
Vardas50            Pavarde50           8         3         3         3         2         7         2         6         10        4         1         8         8         7         3         1         
Vardas51            Pavarde51           1         1         6         2         5         2         7         8         10        7         4         10        8         6         7         10        
Vardas52            Pavarde52           9         6         8         5         6         5         7         10        6         6         9         4         1         2         9         8         
Vardas53            Pavarde53           3         8         9         1         4         8         7         10        6         3         7         1         10        7         7         7         
Vardas54            Pavarde54           6         10        1         7         9         7         5         7         3         6         1         5         9         4         7         10        
Vardas55            Pavarde55           8         2         9         1         10        4         10        8         5         6         6         4         9         1         8         10        
Vardas56            Pavarde56           6         2         1         5         2         4         3         3         6         7         8         2         4         2         1         8         
Vardas57            Pavarde57           1         10        9         3         1         9         7         2         5         5         5         2         10        4         9         1         
Vardas58            Pavarde58           6         2         1         9         4         2         6         5         10        2         7         5         2         4         4         5         
Vardas59            Pavarde59           8         2         7         9         3         6         5         7         4         6         3         6         2         4         2         4         
Vardas60            Pavarde60           10        6         5         6         6         8         1         8         9         9         4         8         1         4         1         3         
Vardas61            Pavarde61           10        9         10        5         7         4         9         4         4         10        3         7         1         5         7         4         
Vardas62            Pavarde62           2         5         9         7         6         4         1         5         1         3         10        4         4         3         2         10        
Vardas63            Pavarde63           6         3         1         2         10        7         7         9         7         1         1         1         3         6         3         5         
Vardas64            Pavarde64           2         8         1         8         1         6         1         2         3         2         5         4         4         5         5         6         
Vardas65            Pavarde65           7         9         5         6         8         10        5         7         2         10        7         3         2         4         6         7         
Vardas66            Pavarde66           3         1         2         6         2         6         1         8         1         1         4         3         3         8         1         8         
Vardas67            Pavarde67           10        6         2         2         10        10        1         3         10        3         10        3         3         10        1         2         
Vardas68            Pavarde68           2         6         3         9         8         8         3         1         9         5         7         5         10        7         10        10        
Vardas69            Pavarde69           9         6         9         7         2         4         5         4         6         8         2         9         7         8         6         7         
Vardas70            Pavarde70           4         8         10        4         6         7         3         3         8         6         4         4         7         1         4         4         
Vardas71            Pavarde71           1         9         1         6         1         2         1         4         3         6         6         3         6         2         1         6         
Vardas72            Pavarde72           5         8         4         10        8         4         5         1         1         10        9         8         2         2         5         8         
Vardas73            Pavarde73           7         8         5         5         5         9         8         1         7         9         7         10        1         3         1         8         
Vardas74            Pavarde74           5         10        5         5         3         10        9         6         1         3         6         9         10        2         6         2         
Vardas75            Pavarde75           4         10        3         2         9         3         9         5         1         1         9         5         5         4         3         9         
Vardas76            Pavarde76           9         10        9         2         9         9         3         1         7         3         2         3         4         5         1         2         
Vardas77            Pavarde77           7         10        9         10        1         3         1         2         8         10        6         3         6         10        10        3         
Vardas78            Pavarde78           2         6         2         8         3         1         1         3         1         10        2         6         5         8         8         8         
Vardas79            Pavarde79           9         3         1         9         4         9         8         5         2         6         5         6         8         2         10        3         
Vardas80            Pavarde80           10        5         9         9         10        8         8         1         8         9         3         6         6         7         1         2         
Vardas81            Pavarde81           4         9         10        3         8         9         1         6         7         8         9         7         7         6         8         4         
Vardas82            Pavarde82           7         5         2         2         7         4         7         7         3         8         5         3         9         2         5         10        
Vardas83            Pavarde83           3         6         4         6         2         10        4         2         10        10        2         2         2         3         2         6         
Vardas84            Pavarde84           3         10        5         3         5         7         6         9         4         7         3         3         7         1         1         2         
Vardas85            Pavarde85           1         5         7         9         7         1         1         6         2         6         5         5         4         9         4         9         
Vardas86            Pavarde86           8         9         10        2         6         7         4         3         7         6         5         2         8         8         5         6         
Vardas87            Pavarde87           5         3         8         7         1         3         10        4         9         6         4         7         5         5         4         7         
Vardas88            Pavarde88           2         10        9         7         8         7         2         3         8         3         3         1         3         9         1         9         
Vardas89            Pavarde89           9         8         6         7         7         4         4         3         8         10        6         9         8         4         1         5         
Vardas90            Pavarde90           2         5         2         5         10        10        1         2         2         6         9         9         5         7         1         6         
Vardas91            Pavarde91           1         5         6         6         9         7         1         6         1         1         7         8         10        6         10        1         
Vardas92            Pavarde92           5         10        7         8         5         7         10        9         1         3         9         5         10        2         10        8         
Vardas93            Pavarde93           6         8         4         4         5         6         5         1         7         6         2         10        10        2         2         1         
Vardas94            Pavarde94           7         3         5         9         10        8         1         7         4         8         3         3         1         8         1         2         
Vardas95            Pavarde95           2         3         5         5         8         5         6         7         2         1         9         6         8         10        3         1         
Vardas96            Pavarde96           4         4         7         1         10        6         6         9         5         8         4         8         6         10        6         4         
Vardas97            Pavarde97           5         7         8         5         2         6         9         4         6         10        5         5         2         2         10        5         
Vardas98            Pavarde98           2         4         5         2         8         7         2         4         2         9         6         3         8         7         1         4         
Vardas99            Pavarde99           5         2         2         2         4         1         2         7         8         10        1         5         9         6         10        10        
Vardas100           Pavarde100          4         10        9         1         3         3         6         3         3         4         2         8         6         6         8         1         
Vardas101           Pavarde101          1         2         10        8         6         10        2         3         3         6         3         1         9         9         9         10        
Vardas102           Pavarde102          1         4         2         10        1         4         8         4         6         2         5         4         1         10        9         2         
Vardas103           Pavarde103          8         4         2         6         4         5         9         5         7         10        6         1         7         10        9         6         
Vardas104           Pavarde104          10        10        3         4         5         1         1         7         4         7         10        9         4         7         7         10        
Vardas105           Pavarde105          7         6         7         5         1         3         10        1         2         1         4         6         1         5         4         6         
Vardas106           Pavarde106          5         1         7         3         5         4         5         6         10        5         5         9         9         7         4         3         
Vardas107           Pavarde107          4         5         1         2         2         2         2         6         8         3         5         1         10        1         7         1         
Vardas108           Pavarde108          3         1         5         1         9         9         10        10        6         1         1         9         4         6         9         4         
Vardas109           Pavarde109          5         1         1         3         7         8         2         1         9         6         3         8         9         9         8         3         
Vardas110           Pavarde110          7         3         2         6         5         8         1         8         2         4         4         9         6         4         3         8         
Vardas111           Pavarde111          10        3         6         4         2         9         9         1         2         7         8         1         10        6         5         4         
Vardas112           Pavarde112          3         7         3         4         10        6         9         4         3         10        5         7         3         9         8         8         
Vardas113           Pavarde113          4         4         7         9         4         2         3         6         4         6         7         2         3         2         6         9         
Vardas114           Pavarde114          10        6         5         7         9         6         9         4         9         6         5         6         7         9         8         6         
Vardas115           Pavarde115          5         9         5         7         7         8         3         5         9         1         5         5         2         5         10        5         
Vardas116           Pavarde116          10        10        10        6         3         7         8         5         4         10        9         8         3         1         1         9         
Vardas117           Pavarde117          9         3         9         1         1         8         6         4         10        2         1         6         1         1         3         4         
Vardas118           Pavarde118          9         9         1         4         6         8         4         8         9         4         2         2         4         8         10        2         
Vardas119           Pavarde119          10        3         7         10        9         1         5         7         7         5         6         7         7         3         3         1         
Vardas120           Pavarde120          5         3         4         1         6         1         5         1         5         1         9         1         3         3         2         9         
Vardas121           Pavarde121          6         1         3         7         10        3         4         2         9         9         10        10        9         4         7         4         
Vardas122           Pavarde122          5         1         2         10        5         10        4         4         1         4         5         3         10        3         9         1         
Vardas123           Pavarde123          1         1         6         1         1         5         7         5         2         6         7         7         2         8         1         6         
Vardas124           Pavarde124          9         3         4         10        4         9         1         8         3         5         3         9         6         1         9         8         
Vardas125           Pavarde125          3         7         1         6         4         4         5         10        3         1         2         2         8         2         5         9         
Vardas126           Pavarde126          5         6         7         9         5         7         1         4         10        9         7         2         4         10        1         5         
Vardas127           Pavarde127          10        7         4         1         3         8         7         9         1         5         9         2         5         9         1         9         
Vardas128           Pavarde128          9         8         7         7         9         6         9         3         9         2         7         8         7         1         3         3         
Vardas129           Pavarde129          6         9         7         9         8         1         7         10        3         5         5         3         5         9         10        7         
Vardas130           Pavarde130          8         6         10        6         5         1         8         3         2         2         9         3         5         10        6         1         
Vardas131           Pavarde131          1         3         7         1         4         4         10        7         5         8         6         5         1         7         9         10        
Vardas132           Pavarde132          4         4         9         5         2         8         6         9         6         9         4         10        10        9         4         7         
Vardas133           Pavarde133          6         8         1         3         9         7         4         4         6         10        3         1         8         5         9         6         
Vardas134           Pavarde134          4         4         4         1         8         7         2         3         1         9         6         8         8         4         10        6         
Vardas135           Pavarde135          3         8         4         6         4         6         8         10        10        8         7         3         6         9         6         3         
Vardas136           Pavarde136          2         4         10        8         3         2         10        9         7         10        5         5         5         8         4         7         
Vardas137           Pavarde137          10        3         9         7         6         7         6         5         2         1         9         2         6         9         1         1         
Vardas138           Pavarde138          10        4         4         4         7         2         4         7         4         6         2         5         2         4         7         6         
Vardas139           Pavarde139          7         9         6         5         4         9         2         3         5         10        2         2         6         9         2         6         
Vardas140           Pavarde140          2         3         7         2         3         7         8         7         8         6         2         3         9         2         8         8         
Vardas141           Pavarde141          10        4         7         3         9         5         4         9         1         5         9         7         8         6         1         10        
Vardas142           Pavarde142          5         5         2         6         10        2         2         10        1         9         9         9         2         8         10        1         
Vardas143           Pavarde143          8         6         7         5         5         2         3         6         7         1         4         3         10        6         5         3         
Vardas144           Pavarde144          5         4         4         1         8         10        2         4         8         6         7         3         3         5         1         2         
Vardas145           Pavarde145          5         8         6         5         5         6         2         8         10        8         2         8         5         6         7         2         
Vardas146           Pavarde146          6         9         5         6         9         9         4         8         3         1         5         3         7         6         3         10        
Vardas147           Pavarde147          9         3         2         1         4         1         3         9         6         2         8         8         7         3         5         5         
Vardas148           Pavarde148          2         6         4         8         8         10        4         6         10        8         4         5         2         1         6         1         
Vardas149           Pavarde149          1         10        5         8         8         7         7         5         8         2         5         6         1         3         3         6         
Vardas150           Pavarde150          3         6         1         4         6         1         2         9         3         3         6         5         8         6         3         4         
Vardas151           Pavarde151          2         4         7         9         5         10        6         4         2         8         10        1         10        6         9         7         
Vardas152           Pavarde152          3         6         8         7         1         3         1         9         6         4         10        4         1         7         5         5         
Vardas153           Pavarde153          1         5         7         7         9         7         1         9         4         5         1         5         2         4         8         1         
Vardas154           Pavarde154          7         2         1         2         6         5         9         3         9         2         6         3         9         1         2         4         
Vardas155           Pavarde155          9         9         8         3         5         5         9         5         9         8         7         4         3         10        7         7         
Vardas156           Pavarde156          1         5         9         4         2         7         5         10        7         3         9         3         4         6         9         3         
Vardas157           Pavarde157          1         1         7         10        10        10        10        5         4         9         9         5         8         8         7         3         
Vardas158           Pavarde158          5         9         6         9         1         4         8         8         4         6         10        10        3         5         8         7         
Vardas159           Pavarde159          7         10        6         10        7         10        5         3         1         5         7         7         10        8         2         10        
Vardas160           Pavarde160          7         1         7         10        9         3         4         9         7         2         2         10        5         10        1         4         
Vardas161           Pavarde161          1         5         5         10        8         5         4         8         8         1         5         3         4         4         8         3         
Vardas162           Pavarde162          9         7         2         10        5         5         5         3         3         8         8         8         9         1         10        8         
Vardas163           Pavarde163          1         4         2         10        10        7         10        8         8         5         7         7         2         8         6         10        
Vardas164           Pavarde164          6         8         8         3         3         7         4         4         9         6         8         1         8         8         8         6         
Vardas165           Pavarde165          8         6         4         1         8         8         4         2         7         6         3         7         4         8         9         5         
Vardas166           Pavarde166          8         10        1         10        10        8         8         1         5         1         3         8         7         8         2         9         
Vardas167           Pavarde167          3         7         9         10        2         3         8         8         4         7         2         7         10        1         5         5         
Vardas168           Pavarde168          3         4         3         10        9         3         2         10        4         1         2         10        1         9         3         9         
Vardas169           Pavarde169          5         9         10        4         5         3         1         1         3         3         2         7         4         1         4         3         
Vardas170           Pavarde170          5         3         6         4         5         1         4         2         1         4         4         2         7         10        2         9         
Vardas171           Pavarde171          1         6         6         10        5         7         6         7         7         9         5         4         10        2         9         7         
Vardas172           Pavarde172          7         3         4         6         1         2         2         2         4         9         6         10        6         1         5         3         
Vardas173           Pavarde173          4         8         7         10        5         2         5         4         5         9         4         7         4         7         9         9         
Vardas174           Pavarde174          6         9         2         9         8         4         5         5         3         2         8         7         10        6         7         2         
Vardas175           Pavarde175          3         7         10        8         7         3         4         5         8         10        5         10        9         3         8         10        
Vardas176           Pavarde176          1         3         1         8         3         3         6         1         1         8         2         1         7         1         7         9         
Vardas177           Pavarde177          2         6         7         2         10        3         8         2         10        4         5         5         6         9         9         9         
Vardas178           Pavarde178          9         1         2         5         5         8         3         3         7         7         5         5         3         2         1         8         
Vardas179           Pavarde179          6         3         7         6         4         2         3         1         1         9         2         4         8         3         7         9         
Vardas180           Pavarde180          4         4         4         5         5         5         4         5         8         8         3         1         5         3         2         10        
Vardas181           Pavarde181          4         4         1         6         1         5         7         3         8         10        9         1         7         8         10        2         
Vardas182           Pavarde182          2         1         5         5         7         7         7         2         4         7         1         4         8         3         6         7         
Vardas183           Pavarde183          6         6         6         2         1         1         1         2         8         7         10        7         9         2         1         2         
Vardas184           Pavarde184          4         10        1         3         10        1         7         10        4         5         2         8         3         5         6         5         
Vardas185           Pavarde185          5         10        10        2         10        9         6         4         6         7         10        5         8         10        6         5         
Vardas186           Pavarde186          1         4         7         9         1         5         10        5         1         2         1         1         6         9         10        2         
Vardas187           Pavarde187          6         4         1         2         4         10        2         9         7         7         2         1         6         4         10        4         
Vardas188           Pavarde188          3         2         1         5         4         8         10        7         7         6         9         4         7         1         5         4         
Vardas189           Pavarde189          10        8         5         8         2         3         9         9         5         10        2         1         10        7         8         4         
Vardas190           Pavarde190          2         4         1         6         7         7         9         10        7         3         1         3         6         4         5         9         
Vardas191           Pavarde191          9         1         1         5         8         4         3         10        2         3         8         4         8         6         8         9         
Vardas192           Pavarde192          2         8         3         4         1         9         3         10        7         8         10        6         9         8         10        4         
Vardas193           Pavarde193          3         9         5         10        3         10        10        6         2         6         5         7         6         4         10        8         
Vardas194           Pavarde194          6         6         2         1         5         2         7         4         9         2         8         3         7         3         5         2         
Vardas195           Pavarde195          4         5         9         1         10        8         8         9         9         3         6         4         5         8         1         8         
Vardas196           Pavarde196          10        2         9         5         7         6         3         5         6         5         8         6         9         8         7         3         
Vardas197           Pavarde197          9         7         8         9         1         1         8         1         7         6         2         7         7         1         2         7         
Vardas198           Pavarde198          8         2         4         4         4         3         10        9         2         1         5         4         6         5         6         3         
Vardas199           Pavarde199          1         7         6         7         9         8         3         6         4         2         9         2         7         9         9         7         
Vardas200           Pavarde200          7         7         1         6         2         9         4         4         6         7         7         7         9         10        9         3         
Vardas201           Pavarde201          9         2         4         3         7         6         7         4         10        2         7         3         8         5         3         5         
Vardas202           Pavarde202          4         2         4         10        9         2         6         1         10        5         2         8         1         10        8         10        
Vardas203           Pavarde203          4         9         4         9         6         9         2         1         6         3         1         5         3         8         1         1         
Vardas204           Pavarde204          9         3         9         7         2         1         9         1         6         10        4         8         3         1         8         3         
Vardas205           Pavarde205          4         1         5         8         8         5         5         6         9         2         10        3         6         2         7         2         
Vardas206           Pavarde206          1         3         2         6         10        2         9         6         10        5         6         1         3         10        10        7         
Vardas207           Pavarde207          4         5         3         7         3         8         3         6         9         6         1         2         4         4         7         10        
Vardas208           Pavarde208          8         2         4         9         8         10        3         3         4         9         1         4         1         2         1         8         
Vardas209           Pavarde209          10        1         6         3         9         5         4         4         9         9         9         8         4         1         4         7         
Vardas210           Pavarde210          2         3         4         4         8         3         4         5         1         7         3         8         6         6         2         10        
Vardas211           Pavarde211          7         10        1         7         2         1         8         8         2         9         1         9         9         8         1         10        
Vardas212           Pavarde212          4         6         9         6         5         7         9         5         10        10        8         6         3         6         3         4         
Vardas213           Pavarde213          6         3         2         10        6         7         10        3         9         3         7         6         5         6         3         5         
Vardas214           Pavarde214          3         6         8         9         8         6         1         9         7         2         1         4         6         6         6         2         
Vardas215           Pavarde215          9         7         6         4         8         6         6         2         9         8         3         7         2         10        9         2         
Vardas216           Pavarde216          6         9         6         7         8         9         1         3         2         6         7         3         4         10        8         1         
Vardas217           Pavarde217          10        9         3         4         6         3         4         3         2         2         1         7         1         7         3         10        
Vardas218           Pavarde218          4         5         7         10        2         9         3         6         2         4         8         10        9         9         7         9         
Vardas219           Pavarde219          4         4         8         6         10        1         3         8         2         10        7         2         2         1         7         5         
Vardas220           Pavarde220          4         2         9         3         10        4         6         6         4         7         8         9         3         10        10        9         
Vardas221           Pavarde221          5         8         7         6         3         6         2         5         2         5         1         5         5         2         5         3         
Vardas222           Pavarde222          1         4         5         4         3         1         3         10        3         9         10        10        6         4         4         3         
