Vardas              Pavarde             ND1       ND2       ND3       ND4       ND5       ND6       ND7       ND8       ND9       ND10      ND11      ND12      ND13      ND14      ND15      Egz.      
Vardas97            Pavarde97           2         6         7         1         2         5         5         2         6         1         2         5         6         1         1         2         
Vardas98            Pavarde98           3         6         8         7         4         3         4         6         3         7         1         8         8         1         2         2         
Vardas99            Pavarde99           2         6         7         9         4         7         7         8         9         2         10        2         2         6         5         4         
Vardas100           Pavarde100          8         3         7         6         5         9         7         3         8         9         10        3         10        3         3         4         
Vardas101           Pavarde101          8         7         8         8         1         2         10        4         1         10        8         2         10        9         2         6         
Vardas102           Pavarde102          8         10        5         1         8         8         8         1         2         4         10        1         4         4         4         2         
Vardas103           Pavarde103          4         2         1         1         10        1         3         6         5         8         6         6         9         6         2         3         
Vardas104           Pavarde104          3         3         2         5         1         8         3         2         6         7         1         3         5         7         1         4         
Vardas105           Pavarde105          2         7         2         3         8         6         4         7         7         2         3         4         7         10        5         10        
Vardas106           Pavarde106          10        5         4         2         2         1         3         10        5         1         5         5         4         8         4         7         
Vardas107           Pavarde107          7         5         9         8         2         2         9         3         3         9         7         2         8         2         3         9         
Vardas108           Pavarde108          2         6         1         7         3         7         4         10        4         2         5         3         10        2         5         10        
Vardas109           Pavarde109          6         5         7         3         9         2         7         5         7         6         4         3         7         10        6         4         
Vardas110           Pavarde110          6         9         4         1         9         10        10        8         7         3         6         10        3         9         2         3         
Vardas111           Pavarde111          10        10        7         2         10        10        9         8         5         10        1         1         4         4         7         10        
Vardas112           Pavarde112          10        4         4         2         10        5         6         2         9         5         5         8         10        8         1         7         
Vardas113           Pavarde113          7         10        8         6         4         3         1         9         3         1         8         5         8         8         1         6         
Vardas114           Pavarde114          6         1         7         2         5         7         8         8         5         5         1         10        5         5         8         2         
Vardas115           Pavarde115          2         4         1         9         4         9         10        10        5         2         3         4         6         8         4         3         
Vardas116           Pavarde116          8         4         3         6         1         7         10        9         6         9         6         2         3         1         8         7         
Vardas117           Pavarde117          9         3         7         5         8         7         7         8         6         4         2         8         4         2         8         2         
Vardas118           Pavarde118          4         10        8         7         4         4         9         9         9         10        9         8         7         6         2         3         
Vardas119           Pavarde119          1         7         5         2         5         6         7         6         9         8         6         10        7         2         4         5         
Vardas120           Pavarde120          7         10        5         2         7         3         4         3         10        5         2         7         6         7         4         4         
Vardas121           Pavarde121          5         3         6         8         9         7         7         5         10        10        3         5         7         10        4         9         
Vardas122           Pavarde122          1         1         7         8         4         10        6         1         2         10        1         3         9         9         7         2         
Vardas123           Pavarde123          1         5         9         7         7         3         9         6         8         10        8         10        3         7         8         9         
Vardas124           Pavarde124          8         1         10        8         3         7         3         4         10        2         9         7         5         8         4         9         
Vardas125           Pavarde125          1         2         2         8         5         6         6         4         1         7         4         6         8         1         10        8         
Vardas126           Pavarde126          7         7         4         10        4         5         9         7         8         3         8         5         8         3         7         7         
Vardas127           Pavarde127          4         7         10        2         8         9         1         3         7         1         3         10        3         1         10        6         
Vardas128           Pavarde128          6         7         1         9         2         8         6         4         8         3         4         5         9         1         7         5         
Vardas129           Pavarde129          4         7         8         6         8         4         8         3         3         3         7         4         7         4         4         7         
Vardas130           Pavarde130          9         2         5         10        9         1         4         2         10        3         10        3         4         5         10        8         
Vardas131           Pavarde131          7         2         6         9         1         9         3         9         3         4         10        5         9         7         3         5         
Vardas132           Pavarde132          4         2         6         1         8         1         4         8         8         4         10        7         2         10        7         7         
Vardas133           Pavarde133          6         9         7         8         3         7         5         10        6         3         3         4         4         4         7         9         
Vardas134           Pavarde134          1         2         1         6         6         1         6         6         4         6         1         3         6         3         7         8         
Vardas135           Pavarde135          3         9         5         2         4         1         5         3         5         8         3         1         5         6         6         8         
Vardas136           Pavarde136          3         10        5         8         4         10        2         1         5         2         3         4         5         7         9         5         
Vardas137           Pavarde137          6         6         9         2         6         3         4         6         8         1         4         5         3         4         5         5         
Vardas138           Pavarde138          2         5         6         7         8         10        10        9         3         6         10        5         10        2         4         2         
Vardas139           Pavarde139          8         2         10        10        10        10        1         6         4         10        10        8         10        5         7         3         
Vardas140           Pavarde140          8         8         5         4         3         10        10        3         6         5         2         7         5         8         7         6         
Vardas141           Pavarde141          2         7         6         1         5         6         1         9         7         7         3         6         9         5         8         8         
Vardas142           Pavarde142          1         6         10        5         8         2         9         5         3         4         4         7         10        7         6         4         
Vardas143           Pavarde143          3         2         8         7         10        6         9         1         4         5         5         9         1         7         6         5         
Vardas144           Pavarde144          3         5         8         7         2         2         10        2         4         8         10        1         2         2         5         4         
Vardas145           Pavarde145          3         4         1         8         9         2         2         1         9         10        9         3         7         2         9         1         
Vardas146           Pavarde146          5         6         5         1         2         4         2         10        3         4         7         9         1         9         10        1         
Vardas147           Pavarde147          1         6         6         2         6         2         6         2         10        6         6         6         10        7         8         9         
Vardas148           Pavarde148          6         9         6         5         2         9         10        5         9         7         8         4         9         2         10        8         
Vardas149           Pavarde149          5         8         9         10        3         8         1         1         9         5         3         10        1         7         5         5         
Vardas150           Pavarde150          9         1         7         5         4         4         8         4         8         2         9         3         5         7         7         9         
Vardas151           Pavarde151          9         3         4         9         7         5         2         10        7         5         3         9         1         5         1         7         
Vardas152           Pavarde152          4         5         7         7         1         8         4         10        8         9         9         1         7         5         6         10        
Vardas153           Pavarde153          5         3         8         6         10        8         2         1         6         6         8         8         6         4         9         10        
Vardas154           Pavarde154          4         10        2         4         3         9         8         4         8         10        4         8         9         6         1         6         
Vardas155           Pavarde155          6         3         10        4         8         8         8         4         5         9         5         7         5         4         9         8         
Vardas156           Pavarde156          4         8         9         6         10        1         7         8         8         5         3         5         3         4         8         8         
Vardas157           Pavarde157          6         6         6         6         10        9         1         2         6         5         6         10        3         2         9         3         
Vardas158           Pavarde158          10        3         1         9         8         7         10        8         6         7         5         8         9         2         4         2         
Vardas159           Pavarde159          6         4         4         6         9         7         2         9         10        7         2         6         9         4         4         1         
Vardas160           Pavarde160          9         3         3         8         3         3         9         9         2         6         1         5         2         9         3         6         
Vardas161           Pavarde161          9         7         6         4         7         8         10        10        6         8         7         2         10        7         4         8         
Vardas162           Pavarde162          7         9         7         6         10        2         8         9         9         5         7         1         3         4         7         2         
Vardas163           Pavarde163          2         5         2         3         7         9         4         7         9         4         6         10        9         7         4         10        
Vardas164           Pavarde164          9         10        10        1         9         9         10        10        10        7         10        1         10        6         10        5         
Vardas165           Pavarde165          5         5         10        7         7         10        9         6         6         2         5         4         5         5         2         3         
Vardas166           Pavarde166          3         7         6         9         7         9         8         6         7         1         10        9         3         10        10        8         
Vardas167           Pavarde167          10        5         4         3         6         6         10        8         5         7         9         6         9         9         7         7         
Vardas168           Pavarde168          2         10        5         2         3         8         7         2         2         3         5         1         9         10        7         10        
Vardas169           Pavarde169          3         10        6         7         10        2         8         8         8         2         7         3         5         10        5         4         
Vardas170           Pavarde170          5         10        5         2         6         10        7         9         7         10        6         3         3         4         2         5         
Vardas171           Pavarde171          6         3         3         4         4         6         5         9         1         4         2         2         10        7         5         3         
Vardas172           Pavarde172          1         8         6         4         7         7         2         2         7         9         1         9         2         7         9         10        
Vardas173           Pavarde173          6         5         7         2         6         7         7         5         6         3         5         2         10        8         4         4         
Vardas174           Pavarde174          8         6         9         7         4         10        10        1         2         4         10        10        3         9         9         6         
Vardas175           Pavarde175          3         9         6         9         7         1         2         2         6         10        6         5         8         9         3         3         
Vardas176           Pavarde176          2         10        2         10        10        5         9         5         3         6         8         8         7         10        10        8         
Vardas177           Pavarde177          4         10        7         1         8         10        1         2         8         9         3         3         6         5         4         2         
Vardas178           Pavarde178          8         2         6         10        2         1         8         9         10        3         8         1         4         3         8         8         
Vardas179           Pavarde179          10        10        3         6         4         6         10        3         9         4         2         7         8         7         6         3         
Vardas180           Pavarde180          6         8         9         10        7         3         7         5         5         1         4         3         5         4         10        7         
Vardas181           Pavarde181          1         4         2         8         7         6         1         1         8         10        6         10        2         6         2         10        
Vardas182           Pavarde182          7         1         5         4         4         5         5         4         2         1         4         9         1         9         5         1         
Vardas183           Pavarde183          1         1         8         7         8         7         2         1         9         9         7         4         3         4         4         2         
Vardas184           Pavarde184          9         6         9         2         3         6         6         9         5         10        4         9         10        8         1         8         
Vardas185           Pavarde185          10        7         10        10        10        7         4         5         7         5         7         1         6         6         10        9         
Vardas186           Pavarde186          1         8         7         2         4         8         7         9         7         7         6         4         4         4         1         3         
Vardas187           Pavarde187          1         5         9         3         3         9         4         2         5         7         7         10        10        2         9         3         
Vardas188           Pavarde188          7         9         1         4         6         1         6         3         6         5         9         4         7         4         3         1         
Vardas189           Pavarde189          1         9         7         9         6         6         8         5         2         6         9         3         5         3         5         2         
Vardas190           Pavarde190          2         2         10        4         1         8         5         3         7         1         9         10        1         3         6         5         
Vardas191           Pavarde191          7         5         8         10        6         6         9         8         5         4         3         2         10        9         4         10        
Vardas192           Pavarde192          10        5         9         2         3         1         8         9         4         5         1         4         8         9         6         9         
Vardas193           Pavarde193          4         2         4         10        5         7         1         8         6         9         5         7         7         1         6         3         
Vardas194           Pavarde194          6         3         10        1         6         2         8         10        8         7         7         3         6         2         9         6         
Vardas195           Pavarde195          2         8         9         2         1         10        6         6         2         3         6         8         7         3         8         9         
Vardas196           Pavarde196          7         1         4         6         10        2         2         6         9         2         8         3         5         8         7         4         
Vardas197           Pavarde197          10        4         3         3         9         1         2         9         1         6         3         2         3         4         5         2         
Vardas198           Pavarde198          8         7         4         7         2         7         8         8         5         9         3         7         9         4         6         1         
Vardas199           Pavarde199          3         1         3         2         6         3         1         10        8         3         6         5         1         8         4         2         
Vardas200           Pavarde200          2         8         6         9         3         8         1         9         4         5         9         5         4         10        2         4         
Vardas201           Pavarde201          1         4         3         9         2         10        10        6         10        8         7         2         10        1         3         4         
Vardas202           Pavarde202          7         10        6         6         4         4         4         5         7         8         1         8         9         8         6         9         
Vardas203           Pavarde203          10        6         8         9         10        10        5         4         10        1         8         4         3         2         9         2         
Vardas204           Pavarde204          9         7         8         3         3         8         1         1         4         2         4         5         8         6         6         5         
Vardas205           Pavarde205          3         5         7         10        3         4         10        3         3         10        9         7         3         4         8         3         
Vardas206           Pavarde206          10        9         7         8         10        3         4         4         10        5         3         3         10        10        4         1         
Vardas207           Pavarde207          2         2         5         6         1         5         9         3         5         5         1         10        8         1         6         2         
Vardas208           Pavarde208          9         3         9         8         7         5         3         8         5         1         7         9         7         6         4         10        
Vardas209           Pavarde209          2         8         7         1         1         10        1         3         8         6         6         7         2         7         1         6         
Vardas210           Pavarde210          10        6         6         10        3         4         4         6         8         8         1         10        2         1         3         2         
Vardas211           Pavarde211          5         5         10        8         2         1         5         4         9         6         6         7         8         10        2         8         
Vardas212           Pavarde212          5         4         8         2         5         6         10        1         8         10        2         10        3         1         4         10        
Vardas213           Pavarde213          6         3         9         9         3         4         4         10        10        6         10        10        4         1         10        10        
Vardas214           Pavarde214          9         9         9         6         10        1         7         8         5         5         8         7         8         4         10        9         
Vardas215           Pavarde215          4         7         3         4         2         1         10        2         1         5         3         5         1         5         6         3         
Vardas216           Pavarde216          5         10        7         8         3         10        3         2         6         4         8         7         6         2         5         2         
Vardas217           Pavarde217          3         3         4         7         7         10        7         1         6         4         5         4         10        3         1         4         
Vardas218           Pavarde218          9         8         7         4         3         10        10        3         5         6         9         1         5         6         1         6         
Vardas219           Pavarde219          1         1         9         8         2         9         8         10        3         10        7         10        9         7         5         3         
Vardas220           Pavarde220          8         9         2         8         5         1         3         10        1         9         9         3         10        1         10        9         
Vardas221           Pavarde221          2         4         6         2         5         3         10        5         4         3         9         1         2         10        3         5         
Vardas222           Pavarde222          7         4         7         2         8         5         1         2         3         10        2         5         1         7         6         8         
